# Chris Lomont perft tests
# Jul 2020
# gathered from various sources

# https://bitbucket.org/Felice_Pollano/felpo-ii/src/5d10a59cdc8c/FelpoIITest/Perft/perftsuite.epd
8/3K4/2p5/p2b2r1/5k2/8/8/1q6 b - - 1 67; D1 50; D2 279
8/7p/p5pb/4k3/P1pPn3/8/P5PP/1rB2RK1 b - d3 0 28; D1 5 ;D2 117 ;D3 3293 ;D4 67197 ;D5 1881089 ;D6 38633283 ;D7 1069189070 ;D8 22488501780 ;D9 614975507497 ;D10 13166245942927
rnbqkb1r/ppppp1pp/7n/4Pp2/8/8/PPPP1PPP/RNBQKBNR w KQkq f6 0 3; D5 11139762
r3k2r/Pppp1ppp/1b3nbN/nP6/BBP1P3/q4N2/Pp1P2PP/R2Q1RK1 w kq - 0 1; D1 6; D2 264; D3 9467; D4 422333; D5 15833292; D6 706045033
8/8/8/8/8/4k3/4P3/4K3 w - - 0 1 ;D1 2 ;D2 8 ;D3 44 ;D4 282 ;D5 1814 ;D6 11848
4k3/4p3/4K3/8/8/8/8/8 b - - 0 1 ;D1 2 ;D2 8 ;D3 44 ;D4 282 ;D5 1814 ;D6 11848
8/8/7k/7p/7P/7K/8/8 w - - 0 1 ;D1 3 ;D2 9 ;D3 57 ;D4 360 ;D5 1969 ;D6 10724
8/8/k7/p7/P7/K7/8/8 w - - 0 1 ;D1 3 ;D2 9 ;D3 57 ;D4 360 ;D5 1969 ;D6 10724
8/8/3k4/3p4/3P4/3K4/8/8 w - - 0 1 ;D1 5 ;D2 25 ;D3 180 ;D4 1294 ;D5 8296 ;D6 53138
8/3k4/3p4/8/3P4/3K4/8/8 w - - 0 1 ;D1 8 ;D2 61 ;D3 483 ;D4 3213 ;D5 23599 ;D6 157093
8/8/3k4/3p4/8/3P4/3K4/8 w - - 0 1 ;D1 8 ;D2 61 ;D3 411 ;D4 3213 ;D5 21637 ;D6 158065
k7/8/3p4/8/3P4/8/8/7K w - - 0 1 ;D1 4 ;D2 15 ;D3 90 ;D4 534 ;D5 3450 ;D6 20960
8/8/7k/7p/7P/7K/8/8 b - - 0 1 ;D1 3 ;D2 9 ;D3 57 ;D4 360 ;D5 1969 ;D6 10724
8/8/k7/p7/P7/K7/8/8 b - - 0 1 ;D1 3 ;D2 9 ;D3 57 ;D4 360 ;D5 1969 ;D6 10724
8/8/3k4/3p4/3P4/3K4/8/8 b - - 0 1 ;D1 5 ;D2 25 ;D3 180 ;D4 1294 ;D5 8296 ;D6 53138
8/3k4/3p4/8/3P4/3K4/8/8 b - - 0 1 ;D1 8 ;D2 61 ;D3 411 ;D4 3213 ;D5 21637 ;D6 158065
8/8/3k4/3p4/8/3P4/3K4/8 b - - 0 1 ;D1 8 ;D2 61 ;D3 483 ;D4 3213 ;D5 23599 ;D6 157093
k7/8/3p4/8/3P4/8/8/7K b - - 0 1 ;D1 4 ;D2 15 ;D3 89 ;D4 537 ;D5 3309 ;D6 21104
7k/3p4/8/8/3P4/8/8/K7 w - - 0 1 ;D1 4 ;D2 19 ;D3 117 ;D4 720 ;D5 4661 ;D6 32191
7k/8/8/3p4/8/8/3P4/K7 w - - 0 1 ;D1 5 ;D2 19 ;D3 116 ;D4 716 ;D5 4786 ;D6 30980
k7/8/8/7p/6P1/8/8/K7 w - - 0 1 ;D1 5 ;D2 22 ;D3 139 ;D4 877 ;D5 6112 ;D6 41874
k7/8/7p/8/8/6P1/8/K7 w - - 0 1 ;D1 4 ;D2 16 ;D3 101 ;D4 637 ;D5 4354 ;D6 29679
k7/8/8/6p1/7P/8/8/K7 w - - 0 1 ;D1 5 ;D2 22 ;D3 139 ;D4 877 ;D5 6112 ;D6 41874
k7/8/6p1/8/8/7P/8/K7 w - - 0 1 ;D1 4 ;D2 16 ;D3 101 ;D4 637 ;D5 4354 ;D6 29679
k7/8/8/3p4/4p3/8/8/7K w - - 0 1 ;D1 3 ;D2 15 ;D3 84 ;D4 573 ;D5 3013 ;D6 22886
k7/8/3p4/8/8/4P3/8/7K w - - 0 1 ;D1 4 ;D2 16 ;D3 101 ;D4 637 ;D5 4271 ;D6 28662
7k/3p4/8/8/3P4/8/8/K7 b - - 0 1 ;D1 5 ;D2 19 ;D3 117 ;D4 720 ;D5 5014 ;D6 32167
7k/8/8/3p4/8/8/3P4/K7 b - - 0 1 ;D1 4 ;D2 19 ;D3 117 ;D4 712 ;D5 4658 ;D6 30749
k7/8/8/7p/6P1/8/8/K7 b - - 0 1 ;D1 5 ;D2 22 ;D3 139 ;D4 877 ;D5 6112 ;D6 41874
k7/8/7p/8/8/6P1/8/K7 b - - 0 1 ;D1 4 ;D2 16 ;D3 101 ;D4 637 ;D5 4354 ;D6 29679
k7/8/8/6p1/7P/8/8/K7 b - - 0 1 ;D1 5 ;D2 22 ;D3 139 ;D4 877 ;D5 6112 ;D6 41874
k7/8/6p1/8/8/7P/8/K7 b - - 0 1 ;D1 4 ;D2 16 ;D3 101 ;D4 637 ;D5 4354 ;D6 29679
k7/8/8/3p4/4p3/8/8/7K b - - 0 1 ;D1 5 ;D2 15 ;D3 102 ;D4 569 ;D5 4337 ;D6 22579
k7/8/3p4/8/8/4P3/8/7K b - - 0 1 ;D1 4 ;D2 16 ;D3 101 ;D4 637 ;D5 4271 ;D6 28662
7k/8/8/p7/1P6/8/8/7K w - - 0 1 ;D1 5 ;D2 22 ;D3 139 ;D4 877 ;D5 6112 ;D6 41874
7k/8/p7/8/8/1P6/8/7K w - - 0 1 ;D1 4 ;D2 16 ;D3 101 ;D4 637 ;D5 4354 ;D6 29679
7k/8/8/1p6/P7/8/8/7K w - - 0 1 ;D1 5 ;D2 22 ;D3 139 ;D4 877 ;D5 6112 ;D6 41874
7k/8/1p6/8/8/P7/8/7K w - - 0 1 ;D1 4 ;D2 16 ;D3 101 ;D4 637 ;D5 4354 ;D6 29679
k7/7p/8/8/8/8/6P1/K7 w - - 0 1 ;D1 5 ;D2 25 ;D3 161 ;D4 1035 ;D5 7574 ;D6 55338
k7/6p1/8/8/8/8/7P/K7 w - - 0 1 ;D1 5 ;D2 25 ;D3 161 ;D4 1035 ;D5 7574 ;D6 55338

# https://www.chessprogramming.org/Perft
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
perft 5
4865609 a2a3 181046 b2b3 215255 c2c3 222861 d2d3 328511 e2e3 402988 f2f3 178889 g2g3 217210 h2h3 181044 a2a4 217832 b2b4 216145 c2c4 240082 d2d4 361790 e2e4 405385 f2f4 198473 g2g4 214048 h2h4 218829 b1a3 198572 b1c3 234656 g1f3 233491 g1h3 198502


# http://www.rocechess.ch/perft.html
#rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
#perft 1 7
#20 400 8902 197281 4865609 119060324 3195901860

#r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1
#perft 1 6 
#48 2039 97862 4085603 193690690 8031647685

#n1n5/PPPk4/8/8/8/8/4Kppp/5N1N b - - 0 1
#perft 1 6
#24 496 9483 182838 3605103 71179139

n1n5/PPPk4/8/8/8/8/4Kppp/5N1N b - - 0 1
perft 5
3605103 d7e7 203075 d7c7 144121 d7d6 211186 d7c6 198410 d7e8 146984 d7e6 226311 a8c7 287482 a8b6 232333 c8b6 190892 c8a7 185316 c8e7 221064 c8d6 249997 g2g1 196031 g2g1 201350 g2g1 72525 g2g1 24145 g2f1 33700 g2f1 91129 g2f1 33399 g2f1 54682 g2h1 141001 g2h1 92321 g2h1 109225 g2h1 58424

# http://cinnamonchess.altervista.org/perft.html
#rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
#perft 1 10 
#20 400 8902 197281 4865609 119060324 3195901860 84998978956 2439530234167 69352859712417

#r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1
#perft 1 8 
#48 2039 97862 4085603 193690690 8031647685 374190009323 15493944087984

8/PPP4k/8/8/8/8/4Kppp/8 w - - 0 1; D1 18 ;D2 290 ;D3 5044 ;D4 89363 ;D5 1745545 ;D6 34336777 ;D7 749660761 ;D8 16303466487 ;D9 389736558441 ;D10 9169262376292 ;D11 235949253026850

#8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 1
#perft 1 11
#14 191 2812 43238 674624 11030083 178633661 3009794393 50086749815 860322602309 14621463323674

8/3K4/2p5/p2b2r1/5k2/8/8/1q6 b - 1 67; D1 50 ;D2 279 ;D3 13310 ;D4 54703 ;D5 2538084 ;D6 10809689 ;D7 493407574 ;D8 2074492344 ;D9 93718646102 ;D10 397773803207 ;D11 17852271013126

#8/7p/p5pb/4k3/P1pPn3/8/P5PP/1rB2RK1 b - d3 0 28
#perft 1-10
#5 117 3293 67197 1881089 38633283 1069189070 22488501780 614975507497 13166245942927

# https://stackoverflow.com/questions/11365221/perft-test-results-cant-find-bug
# WRONG VALUES 
# Perft Depth: 1
# Nodes: 20  Captures: 0  Checks: 0  Castles: 0  Mates: 0  EnPassant: 0
# 
# Perft Depth: 2
# Nodes: 400  Captures: 0  Checks: 0  Castles: 0  Mates: 0  EnPassant: 0
# 
# Perft Depth: 3
# Nodes: 8902  Captures: 34  Checks: 12  Castles: 0  Mates: 0  EnPassant: 0
# 
# Perft Depth: 4
# Nodes: 197281  Captures: 1610  Checks: 473  Castles: 0  Mates: 8  EnPassant: 0
 

# Sharper v0.17 by Albert Bertilsson
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
perft 4
197281 b1c3 9755 b1a3 8885 g1h3 8881 g1f3 9748 a2a3 8457 a2a4 9329 b2b3 9345 b2b4 9332 c2c3 9272 c2c4 9744 d2d3 11959 d2d4 12435 e2e3 13134 e2e4 13160 f2f3 8457 f2f4 8929 g2g3 9345 g2g4 9328 h2h3 8457 h2h4 9329

# Sharper v0.17 by Albert Bertilsson
# rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
# perft 5
# 4865609 b1c3 234656 b1a3 198572 g1h3 198502 g1f3 233491 a2a3 181046 a2a4 217832 b2b3 215255 b2b4 216145 c2c3 222861 c2c4 240082 d2d3 328511 d2d4 361790 e2e3 402988 e2e4 405385 f2f3 178889 f2f4 198473 g2g3 217210 g2g4 214048 h2h3 181044 h2h4 218829
# done above
 

# https://sites.google.com/site/numptychess/perft
# todo - implement
# rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -
# ply 1,2,3...
# b1-a3	 1	 20	 400	 8885	 198572	 4856835
#  b1-c3	 1	 20	 440	 9755	 234656	 5708064
#  g1-f3	 1	 20	 440	 9748	 233491	 5723523
#  g1-h3	 1	 20	 400	 8881	 198502	 4877234
#  a2-a4	 1	 20	 420	 9329	 217832	 5363555
#  a2-a3	 1	 20	 380	 8457	 181046	 4463267
#  b2-b4	 1	 20	 421	 9332	 216145	 5293555
#  b2-b3	 1	 20	 420	 9345	 215255	 5310358
#  c2-c4	 1	 20	 441	 9744	 240082	 5866666
#  c2-c3	 1	 20	 420	 9272	 222861	 5417640
#  d2-d4	 1	 20	 560	 12435	 361790	 8879566
#  d2-d3	 1	 20	 539	 11959	 328511	 8073082
#  e2-e4	 1	 20	 600	 13160	 405385	 9771632
#  e2-e3	 1	 20	 599	 13134	 402988	 9726018
#  f2-f4	 1	 20	 401	 8929	 198473	 4890429
#  f2-f3	 1	 20	 380	 8457	 178889	 4404141
#  g2-g4	 1	 20	 421	 9328	 214048	 5239875
#  g2-g3	 1	 20	 420	 9345	 217210	 5346260
#  h2-h4	 1	 20	 420	 9329	 218829	 5385554
#  h2-h3	 1	 20 	 380	 8457	 181044	 4463070
#  Total	 20	 400	 8902	 197281	 4865609	 119060324
# 
#  8/p7/8/1P6/K1k3p1/6P1/7P/8 w - -
#  h2-h4	 1	 8	 41	 325	 2002	 16763	 118853	986637 
#  h2-h3	 1	 8	 48	 411	 2719	 24065	 179009	1570536 
#  a4-a3	 1	 8	 55	 475	 3604	 31135	 247356	2120164 
#  a4-a5	 1	 7	 39	 318	 1974	 16666	 119867	996474 
#  b5-b6	 1	 8	 54	 473	 3763	 32366	 301067	2429979 
#  Total	 5 	 39	 237	 2002	 14062	 120995	 966152	8103790 
# 
#   r3k2r/p6p/8/B7/1pp1p3/3b4/P6P/R3K2R w KQkq -
#   a1-b1	 1	 20	 377 	 8618	 175927	 4321724
